state,x,y
Andhra Pradesh,-62,-166
Arunachal Pradesh,227,142
Assam,195,86
Bihar,58,69
Chhattisgarh,-18,-38
Goa,-165,-148
Gujarat,-213,12
Haryana,-107,145
Himachal Pradesh,-92,202
Jammu ,-85,259
Kashmir,-130,240
Jharkhand,56,23
Karnataka,-131,-159
Kerala,-114,-261
Madhya Pradesh,-79,19
Maharashtra,-148,-68
Manipur,215,57
Meghalaya,157,71
Mizoram,201,30
Nagaland,230,91
Odisha,48,-39
Punjab,-127,176
Rajasthan,-162,95
Sikkim,116,114
Tamil Nadu,-75,-243
Telangana,-64,-100
Tripura,180,36
Uttar Pradesh,-35,100
Uttarakhand,-53,162
West Bengal,106,17
